sexo,prov_res
Hombre,1
Hombre,7
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,7
Hombre,1
Mujer,6
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,3
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,24
Mujer,14
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,3
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,14
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,3
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Hombre,3
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Hombre,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Hombre,17
Hombre,1
Hombre,1
Hombre,1
Mujer,1
Hombre,14
Hombre,1
Mujer,1
Mujer,1
Mujer,1
Hombre,1
Mujer,1
Mujer,1
