;Hombre;Mujer;Edad;Totaldx;lxH;lxM;qxH;qxM;lxT;qxT
0;1;8;0;9;9500.0;9182;0.00010526315789473685;0.0008712698758440427;18682.0;0.0004817471362809121
1;28;42;1;70;8907.0;8466;0.0031435949253396205;0.004961020552799433;17373.0;0.004029240775916652
2;26;17;2;43;10776.0;10336;0.002412769116555308;0.001644736842105263;21112.0;0.002036756347101175
3;21;12;3;33;12485.0;12040;0.0016820184221065279;0.0009966777408637873;24525.0;0.001345565749235474
4;14;13;4;27;12008.0;11496;0.0011658894070619586;0.0011308281141266527;23504.0;0.0011487406398910823
5;11;10;5;21;11343.0;10809;0.0009697610861324165;0.000925154963456379;22152.0;0.0009479956663055255
6;8;11;6;19;14163.0;13493;0.0005648520793617172;0.0008152375305714074;27656.0;0.0006870118599942147
7;15;9;7;24;11198.0;11014;0.001339524915163422;0.0008171418195024514;22212.0;0.0010804970286331713
8;11;11;8;22;12042.0;11470;0.0009134695233349941;0.0009590235396687009;23512.0;0.000935692412385165
9;12;12;9;24;12962.0;12581;0.0009257830581700355;0.0009538192512518877;25543.0;0.0009395920604470892
10;7;10;10;17;11425.0;11244;0.000612691466083151;0.0008893632159373888;22669.0;0.0007499228020644934
11;13;8;11;21;8937.0;8646;0.0014546268322703367;0.0009252833680314596;17583.0;0.0011943354376386282
12;10;5;12;15;10044.0;9652;0.0009956192751891676;0.0005180273518441774;19696.0;0.0007615759545085296
13;5;5;13;10;10051.0;9915;0.0004974629390110437;0.0005042864346949068;19966.0;0.0005008514474606832
14;5;7;14;12;10110.0;9710;0.0004945598417408506;0.0007209062821833162;19820.0;0.0006054490413723512
15;9;10;15;19;9778.0;9453;0.0009204336265084884;0.0010578652279699566;19231.0;0.0009879881441422704
16;18;10;16;28;9744.0;9523;0.0018472906403940886;0.0010500892575868949;19267.0;0.0014532620542897182
17;14;12;17;26;9647.0;9624;0.0014512283611485435;0.0012468827930174563;19271.0;0.0013491775206268487
18;18;2;18;20;10097.0;10311;0.0017827077349707834;0.0001939676074095626;20408.0;0.0009800078400627205
19;22;7;19;29;9913.0;9632;0.0022193079794209625;0.0007267441860465116;19545.0;0.0014837554361729342
20;26;11;20;37;9651.0;9679;0.0026940213449383483;0.0011364810414298998;19330.0;0.0019141231246766683
